,user_id,week,google_search,emails_sent,browsing_time,google_emissions,emails_emissions,browsing_emissions
0,0,0,4080,1759,357,20.400000000000002,7.0360000000000005,12.852
1,0,1,2267,670,299,11.335,2.68,10.764
2,0,2,3039,1068,275,15.195,4.272,9.899999999999999
3,0,3,3741,1588,354,18.705,6.352,12.744
4,0,4,3677,1148,285,18.385,4.5920000000000005,10.26
5,0,5,4060,1542,297,20.3,6.168,10.692
6,0,6,3646,1665,360,18.23,6.66,12.959999999999999
7,0,7,1411,773,196,7.055,3.092,7.056
8,0,8,2531,1078,258,12.655000000000001,4.312,9.287999999999998
9,0,9,4065,2005,472,20.325,8.02,16.991999999999997
10,0,10,3799,1332,364,18.995,5.328,13.104
11,0,11,4281,1913,387,21.405,7.652,13.931999999999999
12,0,12,3231,1059,257,16.155,4.236000000000001,9.251999999999999
13,0,13,3824,1483,329,19.12,5.932,11.844
14,0,14,4718,1362,354,23.59,5.448,12.744
15,0,15,6588,2175,584,32.94,8.7,21.023999999999997
16,0,16,1652,501,100,8.26,2.004,3.5999999999999996
17,0,17,4662,1425,474,23.310000000000002,5.7,17.064
18,0,18,4387,1305,288,21.935000000000002,5.220000000000001,10.368
19,0,19,1333,316,44,6.665,1.264,1.5839999999999999
20,0,20,6250,2533,397,31.25,10.132,14.292
21,0,21,3508,1920,288,17.54,7.68,10.367999999999999
22,0,22,5521,1067,261,27.605,4.268,9.395999999999999
23,0,23,2543,1439,514,12.715,5.756,18.503999999999998
24,0,24,1206,557,231,6.03,2.228,8.315999999999999
25,0,25,5631,1270,431,28.155,5.08,15.515999999999998
26,0,26,1855,567,174,9.275,2.268,6.263999999999999
27,0,27,6384,2593,573,31.92,10.372,20.627999999999997
28,0,28,2731,1469,299,13.655000000000001,5.876,10.764
29,0,29,3368,1481,283,16.84,5.924,10.187999999999999
30,0,30,4162,1340,212,20.810000000000002,5.36,7.632
31,0,31,4077,1643,367,20.385,6.572,13.211999999999998
32,0,32,2617,1747,321,13.085,6.988,11.556
33,0,33,3846,1209,404,19.23,4.836,14.543999999999999
34,0,34,3857,2117,417,19.285,8.468,15.011999999999999
35,0,35,4503,2037,412,22.515,8.148,14.831999999999999
36,0,36,5657,2694,402,28.285,10.776,14.472
37,0,37,5484,1791,502,27.42,7.164000000000001,18.072
38,0,38,4217,1320,375,21.085,5.28,13.5
39,0,39,2493,1081,215,12.465,4.324,7.739999999999999
40,0,40,1999,602,163,9.995,2.408,5.867999999999999
41,0,41,2632,1354,226,13.16,5.416,8.136
